"cosit","year","month","day","MinutesWithData"
"000000020041","2013","6","1","1436"
"000000020114","2013","6","1","1361"
"000000015091","2013","6","1","1436"
"000000020072","2013","6","1","1436"
"000000020721","2013","6","1","930"
"000000001043","2013","6","1","1310"
"000000020023","2013","6","1","1206"
"000000001632","2013","6","1","1064"
"000000020601","2013","6","1","1110"
"000000001045","2013","6","1","1256"
"000000020185","2013","6","1","1241"
"000000001281","2013","6","1","1410"
"000000020671","2013","6","1","917"
"000000001661","2013","6","1","997"
"000000020256","2013","6","1","1421"
"000000020081","2013","6","1","1254"
"000000001523","2013","6","1","1002"
"000000001651","2013","6","1","962"
"000000020811","2013","6","1","950"
"000000020071","2013","6","1","1438"
"000000020078","2013","6","1","1421"
"000000001022","2013","6","1","1312"
"000000091037","2013","6","1","1379"
"000000020257","2013","6","1","1437"
"000000001531","2013","6","1","1095"
"000000001151","2013","6","1","1124"
"000000020801","2013","6","1","1233"
"000000020591","2013","6","1","957"
"000000020301","2013","6","1","1068"
"000000001256","2013","6","1","1439"
"000000001032","2013","6","1","1276"
"000000020908","2013","6","1","1271"
"000000020701","2013","6","1","950"
"000000001015","2013","6","1","1437"
"000000020024","2013","6","1","1128"
"000000020093","2013","6","1","1259"
"000000020222","2013","6","1","1355"
"000000020202","2013","6","1","1297"
"000000001034","2013","6","1","1284"
"000000001312","2013","6","1","1338"
"000000001102","2013","6","1","1066"
"000000001053","2013","6","1","1116"
"000000001081","2013","6","1","1433"
"000000020258","2013","6","1","1439"
"000000001023","2013","6","1","1347"
"000000200719","2013","6","1","1318"
"000000200811","2013","6","1","1421"
"000000001024","2013","6","1","1257"
"000000001722","2013","6","1","1140"
"000000001012","2013","6","1","1440"
"000000001223","2013","6","1","1280"
"000000001741","2013","6","1","1057"
"000000020255","2013","6","1","1248"
"000000001681","2013","6","1","1029"
"000000200714","2013","6","1","1362"
"000000001101","2013","6","1","1197"
"000000001271","2013","6","1","1395"
"000000020116","2013","6","1","1272"
"000000001111","2013","6","1","1316"
"000000001551","2013","6","1","972"
"000000001811","2013","6","1","1247"
"000000001801","2013","6","1","1067"
"000000020621","2013","6","1","1120"
"000000020022","2013","6","1","1417"
"000000001505","2013","6","1","1440"
"000000020112","2013","6","1","1423"
"000000001723","2013","6","1","1075"
"000000001592","2013","6","1","860"
"000000020205","2013","6","1","1387"
"000000001601","2013","6","1","898"
"000000200713","2013","6","1","1399"
"000000001011","2013","6","1","1437"
"000000020047","2013","6","1","1440"
"000000020223","2013","6","1","1241"
"000000020079","2013","6","1","1408"
"000000020211","2013","6","1","1291"
"000000001132","2013","6","1","1376"
"000000201081","2013","6","1","1414"
"000000020089","2013","6","1","1294"
"000000020212","2013","6","1","1322"
"000000020254","2013","6","1","1410"
"000000020111","2013","6","1","1435"
"000000001522","2013","6","1","928"
"000000020186","2013","6","1","1262"
"000000001242","2013","6","1","1290"
"000000020088","2013","6","1","1307"
"000000001121","2013","6","1","1125"
"000000001051","2013","6","1","1232"
"000000001602","2013","6","1","1061"
"000000020117","2013","6","1","1214"
"000000001321","2013","6","1","1432"
"000000020204","2013","6","1","1350"
"000000201082","2013","6","1","1390"
"000000020184","2013","6","1","1412"
"000000001072","2013","6","1","1440"
"000000001509","2013","6","1","1429"
"000000001812","2013","6","1","1429"
"000000201321","2013","6","1","1404"
"000000020012","2013","6","1","1439"
"000000001044","2013","6","1","1438"
"000000001141","2013","6","1","1266"
"000000020045","2013","6","1","1268"
"000000020172","2013","6","1","1395"
"000000020061","2013","6","1","1339"
"000000001112","2013","6","1","1287"
"000000001201","2013","6","1","1244"
"000000001761","2013","6","1","1142"
"000000001172","2013","6","1","1121"
"000000001033","2013","6","1","1439"
"000000001541","2013","6","1","1158"
"000000200715","2013","6","1","1335"
"000000020086","2013","6","1","1366"
"000000200171","2013","6","1","1292"
"000000200717","2013","6","1","1321"
"000000001711","2013","6","1","1345"
"000000020152","2013","6","1","1215"
"000000020224","2013","6","1","1364"
"000000020521","2013","6","1","1117"
"000000015010","2013","6","1","1433"
"000000001841","2013","6","1","1282"
"000000020562","2013","6","1","971"
"000000020253","2013","6","1","1277"
"000000020115","2013","6","1","1323"
"000000001542","2013","6","1","1010"
"000000020063","2013","6","1","1362"
"000000001731","2013","6","1","990"
"000000001715","2013","6","1","1106"
"000000200721","2013","6","1","1349"
"000009200723","2013","6","1","1429"
"000000020085","2013","6","1","1400"
"000000020611","2013","6","1","1195"
"000000020075","2013","6","1","1426"
"000000200812","2013","6","1","1404"
"000000020201","2013","6","1","1399"
"000000001311","2013","6","1","1300"
"000000001611","2013","6","1","1108"
"000000001721","2013","6","1","1160"
"000000001252","2013","6","1","1349"
"000000020074","2013","6","1","1423"
"000000001253","2013","6","1","1440"
"000000020252","2013","6","1","1190"
"000000200722","2013","6","1","1385"
"000000001831","2013","6","1","1026"
"000000020906","2013","6","1","1314"
"000000001031","2013","6","1","1163"
"000000001035","2013","6","1","1302"
"000000001013","2013","6","1","1440"
"000000020221","2013","6","1","1185"
"000000001021","2013","6","1","1325"
"000000001712","2013","6","1","1326"
"000000001631","2013","6","1","1001"
"000000001671","2013","6","1","639"
"000000020067","2013","6","1","1044"
"000000015011","2013","6","1","1434"
"000000020065","2013","6","1","1414"
"000000020083","2013","6","1","1332"
"000000020242","2013","6","1","1163"
"000000001832","2013","6","1","482"
"000000001593","2013","6","1","1052"
"000000001504","2013","6","1","1440"
"000000001507","2013","6","1","1436"
"000000020907","2013","6","1","1206"
"000000200711","2013","6","1","1027"
"000000001771","2013","6","1","1261"
"000000020018","2013","6","1","1385"
"000000020036","2013","6","1","997"
"000000001624","2013","6","1","1072"
"000000020153","2013","6","1","1236"
"000000020044","2013","6","1","1376"
"000000001251","2013","6","1","1234"
"000000001241","2013","6","1","1125"
"000000001221","2013","6","1","1356"
"000000020034","2013","6","1","1260"
"000000001781","2013","6","1","965"
"000000001751","2013","6","1","1088"
"000000020046","2013","6","1","1228"
"000000001506","2013","6","1","1438"
"000000001042","2013","6","1","1153"
"000000020035","2013","6","1","1279"
"000000001552","2013","6","1","1036"
"000000020203","2013","6","1","1382"
"000000020183","2013","6","1","1382"
"000000020691","2013","6","1","501"
"000000001054","2013","6","1","1143"
"000000200172","2013","6","1","1295"
"000000020171","2013","6","1","1338"
"000000020082","2013","6","1","1174"
"000000020091","2013","6","1","1377"
"000000001622","2013","6","1","1020"
"000000020077","2013","6","1","1413"
"000000020092","2013","6","1","1356"
"000000020084","2013","6","1","1334"
"000000020861","2013","6","1","1046"
"000000020251","2013","6","1","1097"
"000000020042","2013","6","1","1428"
"000000020031","2013","6","1","1234"
"000000001714","2013","6","1","704"
"000000001621","2013","6","1","1173"
"000000001037","2013","6","1","1381"
"000000001501","2013","6","1","1440"
"000000020066","2013","6","1","972"
"000000001782","2013","6","1","1118"
"000000001503","2013","6","1","1440"
"000000202103","2013","6","1","1201"
"000000020522","2013","6","1","1120"
"000000020118","2013","6","1","1342"
"000000020812","2013","6","1","871"
"000000202104","2013","6","1","1225"
"000000020011","2013","6","1","1440"
"000000001222","2013","6","1","1193"
"000000001803","2013","6","1","1161"
"000000001581","2013","6","1","1086"
"000000020087","2013","6","1","1361"
"000000020151","2013","6","1","1189"
"000000202301","2013","6","1","1082"
"000000001502","2013","6","1","1440"
"000000001071","2013","6","1","1440"
"000000020511","2013","6","1","1134"
"000000001713","2013","6","1","1202"
"000000020563","2013","6","1","1139"
"000000200723","2013","6","1","1429"
"000000001255","2013","6","1","1346"
"000000001261","2013","6","1","1196"
"000000001511","2013","6","1","1008"
"000000020181","2013","6","1","1268"
"000000001692","2013","6","1","1144"
"000000001171","2013","6","1","1197"
"000000020523","2013","6","1","1281"
"000000001331","2013","6","1","1278"
"000000200720","2013","6","1","1362"
"000000001173","2013","6","1","1143"
"000000020802","2013","6","1","1164"
"000000208001","2013","6","1","1262"
"000000020016","2013","6","1","1387"
"000000001842","2013","6","1","1112"
"000000001243","2013","6","1","1183"
"000000020525","2013","6","1","1271"
"000000001113","2013","6","1","1440"
"000000001086","2013","6","1","1317"
"000000020076","2013","6","1","1425"
"000000001521","2013","6","1","1100"
"000000920042","2013","6","1","1386"
"000000001182","2013","6","1","1355"
"000000001014","2013","6","1","1440"
"000000001131","2013","6","1","1258"
"000000020526","2013","6","1","1240"
"000000015012","2013","6","1","1420"
"000000001701","2013","6","1","896"
"000000001161","2013","6","1","934"
"000000001623","2013","6","1","1061"
"000000001691","2013","6","1","1117"
"000000091015","2013","6","1","1437"
"000000020062","2013","6","1","1369"
"000000001591","2013","6","1","1168"
"000000020243","2013","6","1","1319"
"000000200718","2013","6","1","1321"
"000000001041","2013","6","1","1370"
"000000001851","2013","6","1","1103"
"000000001052","2013","6","1","1257"
"000000020113","2013","6","1","1305"
"000000001693","2013","6","1","1023"
"000000001871","2013","6","1","747"
"000000001211","2013","6","1","1211"
"000000020524","2013","6","1","1159"
"000000001133","2013","6","1","1248"
